t [s],a [m/s^2]
6.365,-0.4098213
6.37,-0.3314396
6.375,-0.2506178
6.38,-0.169926
6.385,-0.09053528
6.39,-0.01041652
6.395,0.06623524
6.4,0.134921
6.405,0.1965428
6.41,0.2496445
6.415,0.2883763
6.42,0.3067881
6.425,0.3031298
6.43,0.2790016
6.435,0.2336333
6.44,0.1695451
6.445,0.09532885
6.45,0.01331861
6.455,-0.07640962
6.46,-0.1697479
6.465,-0.2636861
6.47,-0.3578543
6.475,-0.4514526
6.48,-0.5389308
6.485,-0.616789
6.49,-0.6826373
6.495,-0.7310255
6.5,-0.7608837
6.505,-0.774302
6.51,-0.7695103
6.515,-0.7458385
6.52,-0.7076668
6.525,-0.658835
6.53,-0.6011432
6.535,-0.5398715
6.54,-0.4806397
6.545,-0.4238379
6.55,-0.3703062
6.555,-0.3235344
6.56,-0.2835326
6.565,-0.2453509
6.57,-0.2080491
6.575,-0.1734074
6.58,-0.1386056
6.585,-0.1034238
6.59,-0.07085107
6.595,-0.03943031
6.6,-0.01026955
6.605,0.01476721
6.61,0.03709397
6.615,0.05878073
6.62,0.07990949
6.625,0.09717825
6.63,0.109132
6.635,0.1160038
6.64,0.1194155
6.645,0.1200773
6.65,0.1195291
6.655,0.1208408
6.66,0.1237726
6.665,0.1249443
6.67,0.1250561
6.675,0.1247749
6.68,0.1193134
6.685,0.1057019
6.69,0.08723546
6.695,0.06522999
