t [s],a [m/s^2]
5.76,-0.7629831
5.765,-0.8195336
5.77,-0.854184
5.775,-0.8777043
5.78,-0.9018047
5.785,-0.9261951
5.79,-0.9400055
5.795,-0.9353459
5.8,-0.9267363
5.805,-0.9248767
5.81,-0.9217171
5.815,-0.9163075
5.82,-0.9015279
5.825,-0.8683283
5.83,-0.8252487
5.835,-0.7764591
5.84,-0.7146295
5.845,-0.6420299
5.85,-0.5704803
5.855,-0.5071607
5.86,-0.450671
5.865,-0.3959615
5.87,-0.3408118
5.875,-0.2850422
5.88,-0.2203026
5.885,-0.151243
5.89,-0.08479442
5.895,-0.03162682
5.9,-0.00283961
5.905,0.006690596
5.91,0.016549
5.915,0.04084861
5.92,0.06833221
5.925,0.08969382
5.93,0.1166234
5.935,0.151563
5.94,0.1894326
5.945,0.2232122
5.95,0.2520218
5.955,0.2862515
5.96,0.3283611
5.965,0.3731307
5.97,0.4243003
5.975,0.4890399
5.98,0.5636495
5.985,0.6279291
5.99,0.6796487
5.995,0.7293083
6,0.7701779
6.005,0.7873875
6.01,0.7849171
6.015,0.7677167
6.02,0.7417663
6.025,0.7148359
6.03,0.6938756
6.035,0.6757351
6.04,0.6609747
6.045,0.6510344
6.05,0.6421639
6.055,0.6269836
6.06,0.5935432
6.065,0.5456928
6.07,0.4975324
6.075,0.448832
6.08,0.3923016
6.085,0.3282512
6.09,0.2623908
6.095,0.2086204
6.1,0.16995
6.105,0.1470796
6.11,0.1405292
6.115,0.1423988
6.12,0.1500784
6.125,0.162008
6.13,0.1735076
6.135,0.1768673
6.14,0.1690269
6.145,0.1372465
6.15,0.08832107
6.155,0.04091468
6.16,-0.003580614
6.165,-0.05023411
6.17,-0.09460551
6.175,-0.1373059
6.18,-0.1808863
6.185,-0.2238367
6.19,-0.2672371
6.195,-0.3158475
6.2,-0.3626879
6.205,-0.3928383
6.21,-0.4066087
6.215,-0.4063491
6.22,-0.3975295
6.225,-0.3874798
6.23,-0.3675802
6.235,-0.3355706
6.24,-0.304971
6.245,-0.2819614
6.25,-0.2772118
6.255,-0.2954022
6.26,-0.3307526
6.265,-0.376773
6.27,-0.4221934
6.275,-0.4587438
6.28,-0.4745542
6.285,-0.4688446
6.29,-0.450275
6.295,-0.4258954
6.3,-0.3966958
6.305,-0.3688161
6.31,-0.3488765
6.315,-0.3244569
6.32,-0.2921573
6.325,-0.2665377
6.33,-0.2534681
6.335,-0.2523985
6.34,-0.2580389
6.345,-0.2669593
6.35,-0.2772597
6.355,-0.2862801
6.36,-0.2911005
6.365,-0.2971509
6.37,-0.3040413
6.375,-0.3076217
6.38,-0.3140521
6.385,-0.3109725
6.39,-0.2964429
6.395,-0.2763132
6.4,-0.2485536
6.405,-0.214404
6.41,-0.1704844
6.415,-0.1240148
6.42,-0.08882422
6.425,-0.05581061
6.43,-0.01740201
6.435,0.0212066
6.44,0.0597422
6.445,0.1029728
6.45,0.1509824
6.455,0.199292
6.46,0.2423816
6.465,0.2761712
6.47,0.3047308
6.475,0.3393604
6.48,0.3810301
6.485,0.4211496
6.49,0.4632592
6.495,0.5075189
6.5,0.5446985
6.505,0.5703981
6.51,0.5882477
6.515,0.5936373
6.52,0.5888869
6.525,0.5841765
6.53,0.5783861
6.535,0.5707457
6.54,0.5634053
6.545,0.5513649
6.55,0.5400046
6.555,0.5313841
6.56,0.5262237
6.565,0.5258633
6.57,0.5319129
6.575,0.5395626
6.58,0.5368221
6.585,0.5256718
6.59,0.5070914
6.595,0.483321
6.6,0.4535806
6.605,0.4157202
6.61,0.3823798
6.615,0.3574494
6.62,0.328789
6.625,0.3010986
6.63,0.2799182
6.635,0.2526478
6.64,0.2182574
6.645,0.179937
6.65,0.1363667
6.655,0.08919825
6.66,0.03487685
6.665,-0.03157254
6.67,-0.09360693
6.675,-0.1432153
6.68,-0.1944657
6.685,-0.2486761
6.69,-0.2956665
